"SITE_NAME,SUB_SITE,DATE_OBS,TIME_OBS,CO2_FLUX,CH4_FLUX,COVER_TYPE,SOIL_TEMP_1CM,SOIL_TEMP_5CM,SOIL_TEMP_10CM,SOIL_TEMP_20CM,COLLAR_ID,CO2_CONC,CO2_CONC_2,CH4_CONC,CH4_CONC_2,CRTFCN_CODE,REVISION_DATE"
"'NSA-BVP-FLXTR','TGB01-FLX01',08-JUL-1994,2024,-888.0,0.0,'Sphagnum Moss',,25.6,11.6,6.9,'M-BP-ms-22',370.5,-999.0,1.945,-999.0,'CPI',14-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',08-JUL-1994,2024,-888.0,.00155093,'Mire',,17.7,12.7,11.6,'M-BP-mc-28',373.5,-999.0,2.001,-999.0,'CPI',14-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',08-JUL-1994,2024,-2.3958333,.13425926,'Pond',,10.7,10.6,9.5,'M-BP-p-30',363.7,-999.0,1.996,-999.0,'CPI',14-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',08-JUL-1994,2024,-888.0,.02743056,'Pond',,10.7,10.6,9.5,'M-BP-p-29',363.7,-999.0,1.996,-999.0,'CPI',14-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',08-JUL-1994,2024,-1.6666667,-888.0,'Mire',,17.7,12.7,11.6,'M-BP-mc-27',373.5,-999.0,2.001,-999.0,'CPI',14-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',08-JUL-1994,2024,-888.0,0.0,'Sphagnum Moss',,25.6,11.6,6.9,'M-BP-ms-21',370.5,-999.0,1.945,-999.0,'CPI',14-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',08-JUL-1994,2024,4.17824074,0.0,'Lichen',,19.5,6.7,1.1,'M-BP-ul-19',366.0,-999.0,1.988,-999.0,'CPI',14-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',08-JUL-1994,2024,-2.3958333,.13425926,'Pond',,10.7,10.6,9.5,'M-BP-p-30',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',08-JUL-1994,2024,7.16435185,.04791667,'Pond',,10.7,10.6,9.5,'M-BP-p-32',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',08-JUL-1994,2024,-2.7199074,.05462963,'Pond',,10.7,10.6,9.5,'M-BP-p-31',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',08-JUL-1994,2052,-888.0,0.0,'Sphagnum Moss',,25.6,11.6,6.9,'M-BP-ms-21',,,,,'CPI',13-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-FLX01',08-JUL-1994,2052,-888.0,0.0,'Sphagnum Moss',,25.6,11.6,6.9,'M-BP-ms-22',,,,,'CPI',13-JAN-1997"
