"SITE_NAME,SUB_SITE,DATE_OBS,TIME_OBS,CHAMBER_ID,CH4_FLUX,REVISION_DATE,CRTFCN_CODE"
"'SSA-9JP-RECCT','9TF04-FLX01',21-MAR-1995,2107,'Q',-30.0,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',21-MAR-1995,2107,'R',0.0,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',21-MAR-1995,2107,'O',-47.0,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',21-MAR-1995,2107,'R',0.0,09-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',21-MAR-1995,2107,'O',-47.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',01-JUN-1994,1600,'G',-386.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',01-JUN-1994,1600,'H',-180.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',01-JUN-1994,1700,'I',-643.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',01-JUN-1994,1700,'J',-422.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',01-JUN-1994,1800,'L',-68.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',04-JUN-1994,2100,'G',-177.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',08-JUN-1994,1700,'K',-133.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',08-JUN-1994,1700,'L',-110.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',08-JUN-1994,1845,'G',-87.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',08-JUN-1994,1845,'H',-311.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',08-JUN-1994,2015,'I',-142.0,09-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',08-JUN-1994,2015,'J',-149.0,09-NOV-1998,'CPI'"
